cruise,research_vessel,cruise_start_utc,cruise_end_utc,season
EN608,R/V Endeavor,31-01-18 14:05,05-02-18 14:42,winter
EN617,R/V Endeavor,20-07-18 13:05,25-07-18 12:15,summer
AR32,R/V Neil Armstrong,12-11-18 12:30,14-11-18 13:11,fall
EN627,R/V Endeavor,01-02-19 16:00,06-02-19 14:50,winter
EN644,R/V Endeavor,19-08-19 13:03,25-08-19 14:16,summer
AR38,R/V Neil Armstrong,20-09-19 14:13,22-09-19 15:03,fall
EN649,R/V Endeavor,01-02-20 14:12,06-02-20 18:53,winter
EN655,R/V Endeavor,25-07-20 12:04,28-07-20 13:38,summer
EN657,R/V Endeavor,13-10-20 12:59,18-10-20 13:15,fall
EN661,R/V Endeavor,03-02-21 15:11,08-02-21 16:02,winter
EN668,R/V Endeavor,16-07-21 13:46,21-07-21 18:16,summer
AR63,R/V Neil Armstrong,26-11-21 13:01,28-11-21 14:57,fall
AT46,R/V Atlantis,16-02-22 14:30,21-02-22 18:51,winter
EN687,R/V Endeavor,29-07-22 15:46,03-08-22 13:05,summer
EN695,R/V Endeavor,11-01-23 15:00,16-01-23 16:07,winter
HRS2303,R/V Hugh R Sharp,29-04-23 03:30,05-05-23 11:59,spring
EN706,R/V Endeavor,07-08-23 13:28,12-08-23 16:32,summer
